Language,Locale,Channel title,Tagline,Description
Italian,it,PhET simulazioni interattive,"Impara matematica, fisica, biologia e chimica attraverso l'esplorazione e la scoperta pratica.","Il progetto PhET Interactive Simulations creato dall'Università del Colorado Boulder fornisce simulazioni interattive di matematica e scienze che coinvolgono gli studenti con ambienti intuitivi simili a giochi. Gli studenti possono apprendere nozioni di matematica, fisica, biologia e chimica attraverso l'esplorazione e la scoperta pratica."
Korean,ko,PhET 인터액티브 시뮬레이션,"실습 탐구와 발견을 통해 수학, 물리학, 생물학, 화학에 대해 배워보세요.","콜로라도 대학교 볼더(University of Colorado Boulder)가 만든 PhET 대화형 시뮬레이션 프로젝트는 직관적이고 게임과 같은 환경에서 학생들의 참여를 유도하는 대화형 수학 및 과학 시뮬레이션을 제공합니다. 학생들은 실습 탐구와 발견을 통해 수학, 물리학, 생물학, 화학에 대해 배울 수 있습니다."
Polish,pl,PhET Symulacje interaktywne,"Nauka matematyki, fizyki, biologii i chemii poprzez praktyczne poszukiwania i odkrycia","Projekt PhET Interactive Simulations stworzony przez Uniwersytet Kolorado w Boulder zapewnia interaktywne symulacje matematyczne i naukowe, które angażują uczniów w intuicyjne środowiska przypominające grę. Uczniowie mogą uczyć się matematyki, fizyki, biologii i chemii poprzez praktyczne poszukiwania i odkrycia."
Portuguese,pt,PhET simulações interativas,"Aprenda sobre matemática, física, biologia e química por meio de exploração e descoberta prática.","O projeto PhET Simulações Interativas criado pela Universidade do Colorado Boulder traz ambientes de aprendizagem intuitivos e interativos, similares a jogos, onde os alunos podem aprender matemática, física, biologia e química por meio da exploração e descoberta prática."
Romanian,ro,Simulări interactive PhET,"Învață despre matematică, fizică, biologie și chimie prin explorare și descoperire practică","Proiectul PhET Interactive Simulations creat de Universitatea din Colorado Boulder oferă simulări interactive de matematică și știință care implică studenții în medii intuitive, asemănătoare jocurilor. Elevii pot învăța despre matematică, fizică, biologie și chimie prin explorare și descoperire practică."
Serbian,sr,ПхЕТ интерактивне симулације,"Научи о математици, физици, биологији и хемији кроз практична истраживања и открића.","ПхЕТ Интерацтиве Симулатионс пројекат који је креирао Универзитет Колорадо Боулдер пружа интерактивне математичке и научне симулације које ангажују ученике у интуитивним окружењима налик игрици. Ученици могу да уче о математици, физици, биологији и хемији кроз практична истраживања и открића."
Spanish,es,Simulaciones interactivas PhET,"Aprende matemáticas, física, biología y química a través de exploración y descubrimientos prácticos.","El proyecto PhET Interactive Simulations creado por la Universidad de Colorado Boulder proporciona simulaciones interactivas de matemáticas y ciencias que involucran a los estudiantes en entornos intuitivos similares a juegos. Los estudiantes pueden aprender sobre matemáticas, física, biología y química a través de exploración y descubrimiento prácticos. "
Ukrainian,uk,PhET – інтерактивне моделювання,"Вивчайте математику, фізику, біологію та хімію через практичні дослідження та відкриття","Проект PhET Interactive Simulation, створений Університетом Колорадо в Боулдері, забезпечує інтерактивне моделювання математики та природничих наук, яке залучає студентів до інтуїтивно зрозумілого середовища, схожого на гру. Студенти можуть вивчати математику, фізику, біологію та хімію шляхом практичних досліджень і відкриттів."
Uzbek,uz,PhET Interaktiv Simulyatsiyalar,"Matematika, fizika, biologiya va kimyo fanlarini amaliy tajriba va kashfiyotlar orqali o'rganing.","Kolorado Boulder universiteti tomonidan yaratilgan PhET Interactive Simulations loyihasi talabalarni intuitiv, o'yinga o'xshash muhitlar bilan jalb qiluvchi interaktiv matematika va fan simulyatsiyalarini taqdim etadi. Talabalar matematika, fizika, biologiya va kimyo fanlarini amaliy izlanishlar va kashfiyotlar orqali bilib olishlari mumkin."
Vietnamese,vi,Mô phỏng Tương tác PhET,"Học về toán, vật lý, sinh học và hóa học thông qua việc thực hành tìm tòi và khám phá.","Dự án Mô phỏng tương tác PhET do Đại học Colorado Boulder tạo ra cung cấp các mô phỏng toán học và khoa học tương tác thu hút học sinh bằng môi trường trực quan, giống như trò chơi. Học sinh có thể học về toán, vật lý, sinh học và hóa học thông qua việc thực hành tìm tòi và khám phá."
"Spanish, Spain",es-ES,Simulaciones interactivas PhET,"Aprende matemáticas, física, biología y química a través de exploración y descubrimientos prácticos.","El proyecto PhET Interactive Simulations creado por la Universidad de Colorado Boulder proporciona simulaciones interactivas de matemáticas y ciencias que involucran a los estudiantes en entornos intuitivos similares a juegos. Los estudiantes pueden aprender sobre matemáticas, física, biología y química a través de exploración y descubrimiento prácticos."
